,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0
39,Alois Riegl,[X] died in [Y] .,Vienna,"His highly intellectual and imaginative Byzantine mosaic decoration has been described as ""one of the most important books on medieval art this century"", and displays the imprint of the old master of [MASK] art history, Alois Riegl.","His highly intellectual and imaginative Byzantine mosaic decoration has been described as ""one of the most important books on medieval art this century"", and displays the imprint of the old master of Vienna art history, Alois Riegl.","['His highly intellectual and imaginative Byzantine mosaic decoration has been described as ""one of the most important books on medieval art this century"", and displays the imprint of the old master of Vienna art history, Alois Riegl.']","['His highly intellectual and imaginative Byzantine mosaic decoration has been described as ""one of the most important books on medieval art this century"", and displays the imprint of the old master of Vienna art history, Alois Riegl.']"
40,Jean Drapeau,[X] died in [Y] .,Montreal,He defeated future mayor of [MASK] Jean Drapeau who was running for the Bloc Populaire.,He defeated future mayor of Montreal Jean Drapeau who was running for the Bloc Populaire.,"['he defeated future mayor of montreal jean drapeau who ran for bloc populaire', 'he defeated the future mayor of montreal jean drapeau who ran for the bloc populaire', 'he defeated the future mayor of montreal jean drapeau who was running for bloc populaire']","['he defeated future mayor of montreal jean drapeau who ran for bloc populaire', 'he defeated the future mayor of montreal jean drapeau who ran for the bloc populaire', 'he defeated the future mayor of montreal jean drapeau who was running for bloc populaire']"
41,Khursheed Bano,[X] died in [Y] .,Karachi,"Launch event for series held at Khursheed Mahal, Avari Towers [MASK] on April 7, 2014.","Launch event for series held at Khursheed Mahal, Avari Towers Karachi on April 7, 2014.","['Launch event for series held at Khursheed Mahal, Avari Towers Karachi on April 7, 2014.']","['Launch event for series held at Khursheed Mahal, Avari Towers Karachi on April 7, 2014.']"
42,Henry Dobson,[X] died in [Y] .,Hobart,"Dobson was born in Tasmania (brother of Sir William and half-brother of Alfred and Henry Dobson) and educated at The Hutchins School, [MASK], and St.","Dobson was born in Tasmania (brother of Sir William and half-brother of Alfred and Henry Dobson) and educated at The Hutchins School, Hobart, and St.","['Dobson was born in Tasmania (brother of Sir William and half-brother of Alfred and Henry Dobson) and educated at The Hutchins School, Hobart, and St.']","['Dobson was born in Tasmania (brother of Sir William and half-brother of Alfred and Henry Dobson) and educated at The Hutchins School, Hobart, and St.']"
43,Nicholas Liverpool,[X] died in [Y] .,Miami,"Nicholas Liverpool died on 1 June 2015 in [MASK], where he was receiving medical treatment.","Nicholas Liverpool died on 1 June 2015 in Miami, where he was receiving medical treatment.","['nicholas liverpool died in miami on june 1 2015 where he received medical treatment', 'nicholas liverpool died on 1 june 2015 in miami where he was undergoing medical treatment']","['nicholas liverpool died in miami on june 1 2015 where he received medical treatment', 'nicholas liverpool died on 1 june 2015 in miami where he was undergoing medical treatment']"
44,Hagop Oshagan,[X] died in [Y] .,Aleppo,"Hagop Oshagan (Armenian: Յակոբ Օշական; December 9, 1883 in Soloz, Bursa - February 17, 1948 in [MASK]), was an Armenian writer, playwright, and novelist.","Hagop Oshagan (Armenian: Յակոբ Օշական; December 9, 1883 in Soloz, Bursa - February 17, 1948 in Aleppo), was an Armenian writer, playwright, and novelist.","['Hagop Oshagan (Armenian: Յակոբ Օշական; December 9, 1883 in Soloz, Bursa - February 17, 1948 in Aleppo), was an Armenian writer, playwright, and novelist.']","['Hagop Oshagan (Armenian: Յակոբ Օշական; December 9, 1883 in Soloz, Bursa - February 17, 1948 in Aleppo), was an Armenian writer, playwright, and novelist.']"
45,Carl Carls,[X] died in [Y] .,Bremen,"Carl Carls (September 16, 1880, Varel – September 11, 1958, [MASK]) was a German chess master.","Carl Carls (September 16, 1880, Varel – September 11, 1958, Bremen) was a German chess master.","['Carl Carls (September 16, 1880, Varel – September 11, 1958, Bremen) was a German chess master.']","['Carl Carls (September 16, 1880, Varel – September 11, 1958, Bremen) was a German chess master.']"
46,Saeed Nafisi,[X] died in [Y] .,Tehran,"Saeed Nafisi's relatives include Moadeb Naficy, the guardian and doctor of the Shah of Iran (Reza Pahlavi); and Moadeb's son Habib Naficy, a senior statesman, founder of Iran's labor laws, U.S.-Iran Attache, and founder of multiple technical universities in [MASK], Siamak Naficy, an anthropologist, as well as acclaimed author, Azar Nafisi, a niece of his.","Saeed Nafisi's relatives include Moadeb Naficy, the guardian and doctor of the Shah of Iran (Reza Pahlavi); and Moadeb's son Habib Naficy, a senior statesman, founder of Iran's labor laws, U.S.-Iran Attache, and founder of multiple technical universities in Tehran, Siamak Naficy, an anthropologist, as well as acclaimed author, Azar Nafisi, a niece of his.","[""Saeed Nafisi's relatives include Moadeb Naficy, the guardian and doctor of the Shah of Iran (Reza Pahlavi); and Moadeb's son Habib Naficy, a senior statesman, founder of Iran's labor laws, U.S.-Iran Attache, and founder of multiple technical universities in Tehran, Siamak Naficy, an anthropologist, as well as acclaimed author, Azar Nafisi, a niece of his.""]","[""Saeed Nafisi's relatives include Moadeb Naficy, the guardian and doctor of the Shah of Iran (Reza Pahlavi); and Moadeb's son Habib Naficy, a senior statesman, founder of Iran's labor laws, U.S.-Iran Attache, and founder of multiple technical universities in Tehran, Siamak Naficy, an anthropologist, as well as acclaimed author, Azar Nafisi, a niece of his.""]"
47,Martin Baum,[X] died in [Y] .,Cincinnati,"Martin Baum (15 June 1765 in Hagerstown, Maryland – 14 December 1831 in [MASK] ) was an American businessman and politician.","Martin Baum (15 June 1765 in Hagerstown, Maryland – 14 December 1831 in Cincinnati ) was an American businessman and politician.","['Martin Baum (15 June 1765 in Hagerstown, Maryland – 14 December 1831 in Cincinnati ) was an American businessman and politician.']","['Martin Baum (15 June 1765 in Hagerstown, Maryland – 14 December 1831 in Cincinnati ) was an American businessman and politician.']"
48,Edward Bowring Stephens,[X] died in [Y] .,London,"Edward Bowring Stephens ARA (Exeter 10 December 1815 – 10 November 1882 [MASK]), (works signed E B Stephens) was a British sculptor from Devon generally considered to be the finest ever produced by that county.","Edward Bowring Stephens ARA (Exeter 10 December 1815 – 10 November 1882 London), (works signed E B Stephens) was a British sculptor from Devon generally considered to be the finest ever produced by that county.","['Edward Bowring Stephens ARA (Exeter 10 December 1815 – 10 November 1882 London), (works signed E B Stephens) was a British sculptor from Devon generally considered to be the finest ever produced by that county.']","['Edward Bowring Stephens ARA (Exeter 10 December 1815 – 10 November 1882 London), (works signed E B Stephens) was a British sculptor from Devon generally considered to be the finest ever produced by that county.']"
49,Halvor Schou,[X] died in [Y] .,Oslo,"He was a son of iron and steel wholesaler Ole Paus and Birgitte Halvordine Schou (a first cousin of industrialist Halvor Schou), and grew up at Bygdøy in [MASK].","He was a son of iron and steel wholesaler Ole Paus and Birgitte Halvordine Schou (a first cousin of industrialist Halvor Schou), and grew up at Bygdøy in Oslo.","['he was the son of iron and steel wholesaler ole paus and birgitte halvordine schou a first cousin of the industrialist halvor schou and grew up in bygdy oslo', 'he was the son of iron and steel wholesaler ole paus and birgitte halvordine schou a first cousin of industrialist halvor schou and grew up in bygdy in oslo']","['he was the son of iron and steel wholesaler ole paus and birgitte halvordine schou a first cousin of the industrialist halvor schou and grew up in bygdy oslo', 'he was the son of iron and steel wholesaler ole paus and birgitte halvordine schou a first cousin of industrialist halvor schou and grew up in bygdy in oslo']"
50,Kate McGarrigle,[X] died in [Y] .,Montreal,"Anna McGarrigle, CM (born December 4, 1944, [MASK]) is a Canadian folk music singer and songwriter who wrote and performed as a duo with her sister, Kate McGarrigle, until Kate's death in 2010.","Anna McGarrigle, CM (born December 4, 1944, Montreal) is a Canadian folk music singer and songwriter who wrote and performed as a duo with her sister, Kate McGarrigle, until Kate's death in 2010.","[""Anna McGarrigle, CM (born December 4, 1944, Montreal) is a Canadian folk music singer and songwriter who wrote and performed as a duo with her sister, Kate McGarrigle, until Kate's death in 2010.""]","[""Anna McGarrigle, CM (born December 4, 1944, Montreal) is a Canadian folk music singer and songwriter who wrote and performed as a duo with her sister, Kate McGarrigle, until Kate's death in 2010.""]"
51,Ehrhardt Post,[X] died in [Y] .,Berlin,"In matches, he won against Carl Carls (+5 –1 =1), drew with Ehrhardt Post (+4 –4 =1), both at [MASK] 1906, and lost to Rudolf Spielmann (+1 –2 =0) at Munich 1906, and Edward Lasker (+0 –1 =3) at Berlin 1909.","In matches, he won against Carl Carls (+5 –1 =1), drew with Ehrhardt Post (+4 –4 =1), both at Berlin 1906, and lost to Rudolf Spielmann (+1 –2 =0) at Munich 1906, and Edward Lasker (+0 –1 =3) at Berlin 1909.","['In matches, he won against Carl Carls (+5 –1 =1), drew with Ehrhardt Post (+4 –4 =1), both at Berlin 1906, and lost to Rudolf Spielmann (+1 –2 =0) at Munich 1906, and Edward Lasker (+0 –1 =3) at Berlin 1909.']","['In matches, he won against Carl Carls (+5 –1 =1), drew with Ehrhardt Post (+4 –4 =1), both at Berlin 1906, and lost to Rudolf Spielmann (+1 –2 =0) at Munich 1906, and Edward Lasker (+0 –1 =3) at Berlin 1909.']"
52,Pietro Ferrero,[X] died in [Y] .,Italy,"It was founded in 1946 in Alba, Piedmont, [MASK] by Pietro Ferrero, a confectioner and small-time pastry maker who laid the groundwork for the Nutella and famously added hazelnut to save money on chocolate.","It was founded in 1946 in Alba, Piedmont, Italy by Pietro Ferrero, a confectioner and small-time pastry maker who laid the groundwork for the Nutella and famously added hazelnut to save money on chocolate.",['it was founded in 1946 in alba piedmont italy by pietro ferrero a confectioner and small-time pastry maker who laid the groundwork for nutella and famously added hazelnut to save money on chocolate'],['it was founded in 1946 in alba piedmont italy by pietro ferrero a confectioner and small-time pastry maker who laid the groundwork for nutella and famously added hazelnut to save money on chocolate']
